,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量
61,0,2023-12-24 00:03:04,-10142,0,-10098,33675,12678,-565,77303,2834,-604,86978,-111,0,44,-4,6,4,-7,0,0,5,2023-12-24 00:05:21,0.0,0.0
62,0,2023-12-24 00:03:07,-10087,0,-10031,33669,12688,-559,77294,2834,-604,86978,55,0,67,-6,10,6,-9,0,0,0,2023-12-24 00:05:21,0.0,0.0
63,0,2023-12-24 00:03:10,-10153,0,-10187,33683,12678,-572,77303,2839,-604,86973,-66,0,-156,14,-10,-13,9,5,0,-5,2023-12-24 00:05:21,0.0,0.0
64,0,2023-12-24 00:03:12,-10387,0,-10087,33674,12686,-564,77296,2839,-604,86978,-234,0,100,-9,8,8,-7,0,0,5,2023-12-24 00:05:21,0.0,0.0
65,0,2023-12-24 00:03:15,-10254,0,-10120,33677,12648,-567,77333,2834,-604,86978,133,0,-33,3,-38,-3,37,-5,0,0,2023-12-24 00:05:21,0.0,0.0
66,0,2023-12-24 00:03:18,-10113,0,-10309,33694,12646,-583,77335,2834,-604,86978,141,0,-189,17,-2,-16,2,0,0,0,2023-12-24 00:05:21,0.0,0.0
67,0,2023-12-24 00:03:21,-10198,0,-10075,33673,12674,-563,77308,2834,-604,86973,-85,0,234,-21,28,20,-27,0,0,-5,2023-12-24 00:05:21,0.0,0.0
68,0,2023-12-24 00:03:25,-10164,0,-10098,33675,12689,-565,77292,2834,-604,86978,34,0,-23,2,15,-2,-16,0,0,5,2023-12-24 00:05:21,0.0,0.0
69,0,2023-12-24 00:03:28,-10265,0,-10354,33698,12669,-587,77312,2839,-604,86973,-101,0,-256,23,-20,-22,20,5,0,-5,2023-12-24 00:05:21,0.0,0.0
70,0,2023-12-24 00:03:31,-10142,0,-10164,33681,12671,-571,77309,2834,-604,86973,123,0,190,-17,2,16,-3,-5,0,0,2023-12-24 00:05:21,0.0,0.0
71,0,2023-12-24 00:03:34,-10265,0,-10087,33674,12669,-563,77313,2839,-604,86973,-123,0,77,-7,-2,8,4,5,0,0,2023-12-24 00:05:21,0.0,0.0
72,0,2023-12-24 00:03:36,-10220,0,-10354,33698,12665,-587,77315,2834,-604,86973,45,0,-267,24,-4,-24,2,-5,0,0,2023-12-24 00:05:21,0.0,0.0
73,0,2023-12-24 00:03:39,-10298,0,-10354,33698,12661,-587,77320,2834,-604,86973,-78,0,0,0,-4,0,5,0,0,0,2023-12-24 00:05:21,0.0,0.0
74,0,2023-12-24 00:03:42,-10176,0,-10287,33692,12703,-581,77278,2839,-604,86973,122,0,67,-6,42,6,-42,5,0,0,2023-12-24 00:05:21,0.0,0.0
75,0,2023-12-24 00:03:45,-10220,0,-10209,33685,12668,-574,77313,2834,-604,86973,-44,0,78,-7,-35,7,35,-5,0,0,2023-12-24 00:05:21,0.0,0.0
76,0,2023-12-24 00:03:49,-10298,0,-10242,33688,12675,-583,77306,2834,-598,86978,-78,0,-33,3,7,-9,-7,0,6,5,2023-12-24 00:05:21,0.0,0.0
77,0,2023-12-24 00:03:52,-10209,0,-9975,33664,12681,-554,77301,2845,-604,86967,89,0,267,-24,6,29,-5,11,-6,-11,2023-12-24 00:05:21,0.0,0.0
78,0,2023-12-24 00:03:55,-10075,0,-10220,33686,12670,-575,77311,2839,-604,86973,134,0,-245,22,-11,-21,10,-6,0,6,2023-12-24 00:05:21,0.0,0.0
79,0,2023-12-24 00:03:58,-10265,0,-10187,33683,12666,-572,77315,2834,-604,86978,-190,0,33,-3,-4,3,4,-5,0,5,2023-12-24 00:05:21,0.0,0.0
80,0,2023-12-24 00:04:00,-10131,0,-10176,33682,12684,-572,77298,2834,-604,86978,134,0,11,-1,18,0,-17,0,0,0,2023-12-24 00:05:21,0.0,0.0
81,0,2023-12-24 00:04:03,-10309,0,-10231,33687,12668,-571,77313,2839,-609,86973,-178,0,-55,5,-16,1,15,5,-5,-5,2023-12-24 00:05:21,0.0,0.0
82,0,2023-12-24 00:04:06,-10098,0,-10287,33692,12665,-576,77316,2850,-609,86962,211,0,-56,5,-3,-5,3,11,0,-11,2023-12-24 00:05:21,0.0,0.0
83,0,2023-12-24 00:04:09,-10287,0,-10176,33682,12685,-567,77296,2839,-609,86973,-189,0,111,-10,20,9,-20,-11,0,11,2023-12-24 00:05:21,0.0,0.0
84,0,2023-12-24 00:04:13,-10031,0,-10042,33670,12667,-560,77314,2834,-604,86973,256,0,134,-12,-18,7,18,-5,5,0,2023-12-24 00:05:21,0.0,0.0
85,0,2023-12-24 00:04:16,-10421,0,-10209,33685,12687,-569,77295,2834,-609,86978,-390,0,-167,15,20,-9,-19,0,-5,5,2023-12-24 00:05:21,0.0,0.0
86,0,2023-12-24 00:04:19,-10432,0,-10331,33696,12675,-580,77305,2834,-609,86978,-11,0,-122,11,-12,-11,10,0,0,0,2023-12-24 00:05:21,0.0,0.0
87,0,2023-12-24 00:04:21,-9997,0,-10120,33677,12659,-562,77322,2834,-609,86978,435,0,211,-19,-16,18,17,0,0,0,2023-12-24 00:05:21,0.0,0.0
88,0,2023-12-24 00:04:24,-10331,0,-10142,33679,12658,-564,77324,2839,-609,86973,-334,0,-22,2,-1,-2,2,5,0,-5,2023-12-24 00:05:21,0.0,0.0
